jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
4,Dennis Smith,PG,75,196,23,Detroit Pistons,3,NC State,2017 Rnd 1 Pick 9,United States
14,Ish Smith,PG,72,175,32,Washington Wizards,10,Wake Forest,"2010 NBA Draft, Undrafted ",United States
10,Jalen Smith,C,73,215,21,Phoenix Suns,0,Maryland,2020 Rnd 1 Pick 10,United States
19,Tony Snell,G,78,213,29,Atlanta Hawks,7,New Mexico,2013 Rnd 1 Pick 20,United States
2,Cassius Stanley,G,78,193,21,Indiana Pacers,0,Duke,2020 Rnd 2 Pick 24,United States
8,Lamar Stevens,SF,80,225,23,Cleveland Cavaliers,0,Penn State,"2020 NBA Draft, Undrafted ",United States
28,Isaiah Stewart II,C,81,250,19,Detroit Pistons,0,Washington,2020 Rnd 1 Pick 16,United States
31,Max Strus,G,78,215,25,Miami Heat,1,DePaul,"2019 NBA Draft, Undrafted ",United States
5,Edmond Sumner,G,78,176,25,Indiana Pacers,3,Xavier,2017 Rnd 2 Pick 22,United States
8,Jae'sean Tate,F,76,230,25,Houston Rockets,0,Ohio State,"2018 NBA Draft, Undrafted ",United States
0,Jayson Tatum,SF,80,210,23,Boston Celtics,3,Duke,2017 Rnd 1 Pick 3,United States
5,Jeff Teague,PG,75,195,32,Milwaukee Bucks,11,Wake Forest,2009 Rnd 1 Pick 19,United States
17,Garrett Temple,G,77,195,34,Chicago Bulls,10,LSU,"2009 NBA Draft, Undrafted ",United States
1,Tyrell Terry,PG,74,175,20,Dallas Mavericks,0,Stanford,2020 Rnd 2 Pick 1,United States
27,Daniel Theis,C,80,245,29,Chicago Bulls,3,Ratiopharm Ulm (Germany),"2013 NBA Draft, Undrafted ",Germany
33,Brodric Thomas,G,77,185,24,Cleveland Cavaliers,0,Truman State,"2020 NBA Draft, Undrafted ",United States
21,Matt Thomas,G,76,190,26,Utah Jazz,1,Iowa State,"2017 NBA Draft, Undrafted ",United States
11,Klay Thompson,G,78,215,31,Golden State Warriors,9,Washington State,2011 Rnd 1 Pick 11,United States
13,Tristan Thompson,F,81,254,30,Boston Celtics,9,Texas,2011 Rnd 1 Pick 4,Canada
12,Sindarius Thornwell,SG,76,215,26,Orlando Magic,2,South Carolina,2017 Rnd 2 Pick 18,United States
22,Matisse Thybulle,SF,77,200,24,Philadelphia Sixers,1,Washington,2019 Rnd 1 Pick 20,United States
35,Killian Tillie,C,73,220,23,Memphis Grizzlies,0,Gonzaga,"2020 NBA Draft, Undrafted ",France
2,"Xavier Tillman, Sr. ",PF,80,245,22,Memphis Grizzlies,0,Michigan State,2020 Rnd 2 Pick 5,United States
43,Anthony Tolliver,PF,80,245,35,Philadelphia Sixers,13,Creighton,"2007 NBA Draft, Undrafted ",United States
1,Obi Toppin,F,81,193,23,New York Knicks,0,Dayton,2020 Rnd 1 Pick 8,United States
